EITC_id,dataset,statecode,statistic,statid,year,data,Statename,NDecimals,StateAbbrev
1,EIC,99,EIC_totalreturns_state,301,1995,19344000.0,United States,2.0,US
2,EIC,99,EIC_totalreturns_state,301,1996,19404580.0,United States,2.0,US
3,EIC,1,EIC_totalreturns_state,301,1996,455700.0,Alabama,2.0,AL
4,EIC,2,EIC_totalreturns_state,301,1996,29163.0,Alaska,2.0,AK
5,EIC,3,EIC_totalreturns_state,301,1996,340744.0,Arizona,2.0,AZ
6,EIC,4,EIC_totalreturns_state,301,1996,254655.0,Arkansas,2.0,AR
7,EIC,5,EIC_totalreturns_state,301,1996,2328577.0,California,2.0,CA
8,EIC,6,EIC_totalreturns_state,301,1996,238004.0,Colorado,2.0,CO
9,EIC,7,EIC_totalreturns_state,301,1996,140434.0,Connecticut,2.0,CT
10,EIC,8,EIC_totalreturns_state,301,1996,49660.0,Delaware,2.0,DE
11,EIC,9,EIC_totalreturns_state,301,1996,53842.0,D.C.,2.0,DC
12,EIC,10,EIC_totalreturns_state,301,1996,1266063.0,Florida,2.0,FL
13,EIC,11,EIC_totalreturns_state,301,1996,688637.0,Georgia,2.0,GA
14,EIC,12,EIC_totalreturns_state,301,1996,61172.0,Hawaii,2.0,HI
15,EIC,13,EIC_totalreturns_state,301,1996,81449.0,Idaho,2.0,ID
16,EIC,14,EIC_totalreturns_state,301,1996,750567.0,Illinois,2.0,IL
17,EIC,15,EIC_totalreturns_state,301,1996,373038.0,Indiana,2.0,IN
18,EIC,16,EIC_totalreturns_state,301,1996,155775.0,Iowa,2.0,IA
19,EIC,17,EIC_totalreturns_state,301,1996,150022.0,Kansas,2.0,KS
20,EIC,18,EIC_totalreturns_state,301,1996,304952.0,Kentucky,2.0,KY
21,EIC,19,EIC_totalreturns_state,301,1996,486498.0,Louisiana,2.0,LA
22,EIC,20,EIC_totalreturns_state,301,1996,82654.0,Maine,2.0,ME
23,EIC,21,EIC_totalreturns_state,301,1996,342050.0,Maryland,2.0,MD
24,EIC,22,EIC_totalreturns_state,301,1996,277594.0,Massachusetts,2.0,MA
25,EIC,23,EIC_totalreturns_state,301,1996,564631.0,Michigan,2.0,MI
26,EIC,24,EIC_totalreturns_state,301,1996,219805.0,Minnesota,2.0,MN
27,EIC,25,EIC_totalreturns_state,301,1996,354459.0,Mississippi,2.0,MS
28,EIC,26,EIC_totalreturns_state,301,1996,391513.0,Missouri,2.0,MO
29,EIC,27,EIC_totalreturns_state,301,1996,67001.0,Montana,2.0,MT
30,EIC,28,EIC_totalreturns_state,301,1996,98577.0,Nebraska,2.0,NE
31,EIC,29,EIC_totalreturns_state,301,1996,117550.0,Nevada,2.0,NV
32,EIC,30,EIC_totalreturns_state,301,1996,58305.0,New Hampshire ,2.0,NH
33,EIC,31,EIC_totalreturns_state,301,1996,445771.0,New Jersey,2.0,NJ
34,EIC,32,EIC_totalreturns_state,301,1996,175797.0,New Mexico,2.0,NM
35,EIC,33,EIC_totalreturns_state,301,1996,1246779.0,New York,2.0,NY
36,EIC,34,EIC_totalreturns_state,301,1996,662627.0,North Carolina,2.0,NC
37,EIC,35,EIC_totalreturns_state,301,1996,38489.0,North Dakota,2.0,ND
38,EIC,36,EIC_totalreturns_state,301,1996,690866.0,Ohio,2.0,OH
39,EIC,37,EIC_totalreturns_state,301,1996,285195.0,Oklahoma,2.0,OK
40,EIC,38,EIC_totalreturns_state,301,1996,201743.0,Oregon,2.0,OR
41,EIC,39,EIC_totalreturns_state,301,1996,688393.0,Pennsylvania,2.0,PA
42,EIC,40,EIC_totalreturns_state,301,1996,58322.0,Rhode Island,2.0,RI
43,EIC,41,EIC_totalreturns_state,301,1996,378979.0,South Carolina,2.0,SC
44,EIC,42,EIC_totalreturns_state,301,1996,49495.0,South Dakota,2.0,SD
45,EIC,43,EIC_totalreturns_state,301,1996,484909.0,Tennessee,2.0,TN
46,EIC,44,EIC_totalreturns_state,301,1996,1873158.0,Texas,2.0,TX
47,EIC,45,EIC_totalreturns_state,301,1996,109620.0,Utah,2.0,UT
48,EIC,46,EIC_totalreturns_state,301,1996,36913.0,Vermont,2.0,VT
49,EIC,47,EIC_totalreturns_state,301,1996,434177.0,Virginia,2.0,VA
50,EIC,48,EIC_totalreturns_state,301,1996,301827.0,Washington,2.0,WA
51,EIC,49,EIC_totalreturns_state,301,1996,137000.0,West Virginia,2.0,WV
52,EIC,50,EIC_totalreturns_state,301,1996,259276.0,Wisconsin,2.0,WI
53,EIC,51,EIC_totalreturns_state,301,1996,33549.0,Wyoming,2.0,WY
54,EIC,99,EIC_totalreturns_state,301,1997,19817658.0,United States,2.0,US
55,EIC,1,EIC_totalreturns_state,301,1997,460087.0,Alabama,2.0,AL
56,EIC,2,EIC_totalreturns_state,301,1997,30442.0,Alaska,2.0,AK
57,EIC,3,EIC_totalreturns_state,301,1997,347168.0,Arizona,2.0,AZ
58,EIC,4,EIC_totalreturns_state,301,1997,257224.0,Arkansas,2.0,AR
59,EIC,5,EIC_totalreturns_state,301,1997,2411531.0,California,2.0,CA
60,EIC,6,EIC_totalreturns_state,301,1997,241770.0,Colorado,2.0,CO
61,EIC,7,EIC_totalreturns_state,301,1997,146997.0,Connecticut,2.0,CT
62,EIC,8,EIC_totalreturns_state,301,1997,50967.0,Delaware,2.0,DE
63,EIC,9,EIC_totalreturns_state,301,1997,53616.0,D.C.,2.0,DC
64,EIC,10,EIC_totalreturns_state,301,1997,1309902.0,Florida,2.0,FL
65,EIC,11,EIC_totalreturns_state,301,1997,711201.0,Georgia,2.0,GA
66,EIC,12,EIC_totalreturns_state,301,1997,66480.0,Hawaii,2.0,HI
67,EIC,13,EIC_totalreturns_state,301,1997,84111.0,Idaho,2.0,ID
68,EIC,14,EIC_totalreturns_state,301,1997,765955.0,Illinois,2.0,IL
69,EIC,15,EIC_totalreturns_state,301,1997,374273.0,Indiana,2.0,IN
70,EIC,16,EIC_totalreturns_state,301,1997,153575.0,Iowa,2.0,IA
71,EIC,17,EIC_totalreturns_state,301,1997,149335.0,Kansas,2.0,KS
72,EIC,18,EIC_totalreturns_state,301,1997,308909.0,Kentucky,2.0,KY
73,EIC,19,EIC_totalreturns_state,301,1997,491482.0,Louisiana,2.0,LA
74,EIC,20,EIC_totalreturns_state,301,1997,82894.0,Maine,2.0,ME
75,EIC,21,EIC_totalreturns_state,301,1997,336829.0,Maryland,2.0,MD
76,EIC,22,EIC_totalreturns_state,301,1997,285476.0,Massachusetts,2.0,MA
77,EIC,23,EIC_totalreturns_state,301,1997,573904.0,Michigan,2.0,MI
78,EIC,24,EIC_totalreturns_state,301,1997,221730.0,Minnesota,2.0,MN
79,EIC,25,EIC_totalreturns_state,301,1997,359304.0,Mississippi,2.0,MS
80,EIC,26,EIC_totalreturns_state,301,1997,393452.0,Missouri,2.0,MO
81,EIC,27,EIC_totalreturns_state,301,1997,66766.0,Montana,2.0,MT
82,EIC,28,EIC_totalreturns_state,301,1997,96567.0,Nebraska,2.0,NE
83,EIC,29,EIC_totalreturns_state,301,1997,124595.0,Nevada,2.0,NV
84,EIC,30,EIC_totalreturns_state,301,1997,58487.0,New Hampshire ,2.0,NH
85,EIC,31,EIC_totalreturns_state,301,1997,455475.0,New Jersey,2.0,NJ
86,EIC,32,EIC_totalreturns_state,301,1997,182151.0,New Mexico,2.0,NM
87,EIC,33,EIC_totalreturns_state,301,1997,1302604.0,New York,2.0,NY
88,EIC,34,EIC_totalreturns_state,301,1997,665037.0,North Carolina,2.0,NC
89,EIC,35,EIC_totalreturns_state,301,1997,38142.0,North Dakota,2.0,ND
90,EIC,36,EIC_totalreturns_state,301,1997,702487.0,Ohio,2.0,OH
91,EIC,37,EIC_totalreturns_state,301,1997,287876.0,Oklahoma,2.0,OK
92,EIC,38,EIC_totalreturns_state,301,1997,204819.0,Oregon,2.0,OR
93,EIC,39,EIC_totalreturns_state,301,1997,707978.0,Pennsylvania,2.0,PA
94,EIC,40,EIC_totalreturns_state,301,1997,60085.0,Rhode Island,2.0,RI
95,EIC,41,EIC_totalreturns_state,301,1997,383828.0,South Carolina,2.0,SC
96,EIC,42,EIC_totalreturns_state,301,1997,49296.0,South Dakota,2.0,SD
97,EIC,43,EIC_totalreturns_state,301,1997,493820.0,Tennessee,2.0,TN
98,EIC,44,EIC_totalreturns_state,301,1997,1907725.0,Texas,2.0,TX
99,EIC,45,EIC_totalreturns_state,301,1997,112064.0,Utah,2.0,UT
100,EIC,46,EIC_totalreturns_state,301,1997,37501.0,Vermont,2.0,VT
101,EIC,47,EIC_totalreturns_state,301,1997,448041.0,Virginia,2.0,VA
102,EIC,48,EIC_totalreturns_state,301,1997,307805.0,Washington,2.0,WA
103,EIC,49,EIC_totalreturns_state,301,1997,139600.0,West Virginia,2.0,WV
